session_id,user_id,channel,start_time,device_fingerprint_id,keystroke_mean_ms,keystroke_std_ms,field_pasted,is_new_device
S100000,U100000,app,2026-06-03 22:32:49.292043,D100000,302.153614571212,37.48856900154584,False,True
S100001,U100000,app,2026-06-07 11:37:48.376451,D100000,278.606395478434,43.554507633298705,False,False
S100002,U100000,app,2026-06-09 08:54:08.122282,D100000,254.5772454515744,41.895256941436685,False,False
S100003,U100000,app,2026-06-09 13:06:28.224854,D100000,293.00941837467246,39.60028851349211,False,False
S100004,U100000,app,2026-06-11 05:09:53.189856,D100000,281.91791293315674,34.00766711601854,False,False
S100005,U100000,app,2026-06-11 15:13:56.121907,D100000,299.10282902029564,34.976649940326446,False,False
S100006,U100000,app,2026-06-14 10:13:20.894992,D100000,280.4980880532449,30.649069614276403,False,False
S100007,U100000,app,2026-06-17 16:24:01.243680,D100000,296.307928397809,32.85578186361238,False,False
S100008,U100000,app,2026-06-17 16:50:48.080466,D100000,271.4539542756458,34.70703698801107,False,False
S100009,U100000,app,2026-06-20 09:06:50.079292,D100000,270.3793813975609,39.7914550460899,False,False
S100010,U100000,app,2026-06-20 20:42:42.370199,D100000,263.8164100192048,38.06220347619691,False,False
S100011,U100000,app,2026-06-22 03:47:11.836654,D100000,283.21124773603896,37.2419251901779,False,False
S100012,U100000,app,2026-06-23 21:03:22.084492,D100000,278.9818029491478,31.185239712302327,False,False
S100013,U100000,app,2026-06-26 00:37:39.865679,D100000,267.40283588969805,39.58325022691698,False,False
S100014,U100000,app,2026-06-27 22:34:43.637843,D100000,273.5394916416104,40.87688479584456,False,False
S100015,U100000,app,2026-07-01 14:39:04.773093,D100000,269.73528285158415,36.149496660697146,False,False
S100016,U100000,app,2026-07-02 17:59:15.142518,D100000,271.59734231355907,36.913967058559244,False,False
S100017,U100000,app,2026-07-07 12:40:18.769522,D100000,296.339257995956,38.53441911831747,False,False
S100018,U100000,app,2026-07-09 08:07:29.558780,D100000,286.09694266320946,31.08698894686092,False,False
S100019,U100000,app,2026-07-12 03:18:45.549648,D100000,274.30035762150357,31.861313937413367,False,False
S100020,U100000,app,2026-07-13 21:26:35.862313,D100000,274.5656794939623,39.10385238220784,False,False
S100021,U100000,app,2026-07-16 10:23:26.903077,D100000,272.6199284761124,33.59120084611524,True,False
S100022,U100000,app,2026-07-18 18:05:45.944299,D100000,278.17266381107913,36.43137788173296,False,False
S100023,U100000,app,2026-07-19 17:14:25.029110,D100000,272.0090598519515,34.95175057082173,False,False
S100024,U100000,app,2026-07-21 00:13:33.351185,D100000,274.25322065605377,25.984357417595895,False,False
S100025,U100000,app,2026-07-22 15:12:39.506573,D100000,259.6378311231774,40.4490856595898,False,False
S100026,U100000,app,2026-07-24 22:48:04.816345,D100000,261.9147011517499,38.653354587310346,False,False
S100027,U100000,app,2026-07-27 07:52:38.815028,D100000,275.69663635648794,29.709231206439746,False,False
S100028,U100000,app,2026-07-28 16:45:28.119502,D100000,266.6689624500096,35.22212058686153,False,False
S100029,U100000,app,2026-07-29 21:18:35.645975,D100000,275.2707052037016,37.97052420753727,False,False
S100030,U100000,app,2026-07-30 02:23:10.648756,D100000,276.111769725662,37.44945817781419,False,False
S100031,U100000,app,2026-07-30 02:33:38.742354,D100000,296.6008298521343,34.78828245365147,False,False
S100032,U100000,app,2026-08-01 12:49:24.616782,D100000,295.47438056682836,33.19187769396545,False,False
S100033,U100000,app,2026-08-01 21:02:44.198363,D100000,232.16398724462894,36.72420434461367,False,False
S100034,U100000,app,2026-08-04 12:15:05.554462,D100000,283.7326125431993,45.94849537777475,False,False
S100035,U100000,app,2026-08-04 12:43:22.703539,D100000,281.8430181336141,37.585945784046835,False,False
S100036,U100000,app,2026-08-04 21:29:18.611064,D100000,277.6555550551632,32.8082186624947,False,False
S100037,U100000,app,2026-08-05 10:01:45.040070,D100000,290.3570067134025,27.479169165437966,False,False
S100038,U100000,app,2026-08-06 00:22:55.672411,D100000,265.3989026825464,36.242170542103125,False,False
S100039,U100000,app,2026-08-07 19:34:37.321194,D100000,284.45802773946986,31.18964177054975,False,False
S100040,U100000,app,2026-08-09 02:07:21.327379,D100000,270.7013172790655,36.06229382025951,False,False
S100041,U100000,app,2026-08-13 14:53:18.274184,D100000,283.62070309629115,37.344266970880774,False,False
S100042,U100000,app,2026-08-13 15:40:18.014660,D100000,267.34350568707794,36.344005317804196,False,False
S100043,U100000,app,2026-08-13 17:56:31.262203,D100000,267.3039059920704,36.65648063293446,False,False
S100044,U100000,app,2026-08-14 05:11:33.175764,D100000,245.4457279943025,30.894449909655453,False,False
S100045,U100000,app,2026-08-17 13:38:45.920452,D100000,276.68304575061273,29.862049252553113,False,False
S100046,U100000,app,2026-08-18 12:20:14.321754,D100000,256.94395469167426,39.62196087099857,False,False
S100047,U100000,app,2026-08-18 16:52:24.084129,D100000,238.9320205385035,28.855972759439545,True,False
S100048,U100000,app,2026-08-20 16:37:08.357363,D100000,262.3347074106996,40.544730022519744,False,False
S100049,U100000,app,2026-08-22 17:26:03.830187,D100000,245.86834924495395,36.62440624183538,False,False
S100050,U100000,app,2026-08-22 17:41:14.460281,D100000,257.1518657567706,33.7337473232758,False,False
S100051,U100000,app,2026-08-23 07:41:25.115029,D100000,251.00523769787964,33.54602432067503,False,False
S100052,U100000,app,2026-08-25 14:32:12.775291,D100000,291.0246283242941,34.510528503192845,False,False
